#;Start;End;Break;Duration;Hourly Rate, $;Bonus, $;Earnings, $;Client;Project;Task;Note
1;2021-08-06 08:00 AM;2021-08-06 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
2;2021-08-05 08:00 AM;2021-08-05 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
3;2021-08-04 08:00 AM;2021-08-04 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
4;2021-08-03 08:00 AM;2021-08-03 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
5;2021-08-02 08:00 AM;2021-08-02 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
6;2021-07-30 08:00 AM;2021-07-30 03:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
7;2021-07-29 08:00 AM;2021-07-29 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
8;2021-07-28 08:00 AM;2021-07-28 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
9;2021-07-27 08:00 AM;2021-07-27 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
10;2021-07-26 08:00 AM;2021-07-26 04:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
11;2021-07-23 08:00 AM;2021-07-23 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
12;2021-07-22 09:00 AM;2021-07-22 05:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
13;2021-07-21 09:00 AM;2021-07-21 04:30 PM;02:00;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
14;2021-07-20 09:00 AM;2021-07-20 06:00 PM;02:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
15;2021-07-19 09:00 AM;2021-07-19 04:30 PM;00:30;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
16;2021-07-16 11:00 AM;2021-07-16 12:00 PM;00:00;01:00;25;;25;Tristique Incorporated;Dashboard Projet;Implementation;
17;2021-07-15 08:00 AM;2021-07-15 03:00 PM;01:30;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
18;2021-07-14 09:00 AM;2021-07-14 10:30 AM;00:00;01:30;25;;37.5;Tristique Incorporated;Dashboard Projet;Implementation;
19;2021-07-13 09:00 AM;2021-07-13 07:00 PM;01:00;09:00;25;;225;Tristique Incorporated;Dashboard Projet;Implementation;
20;2021-07-12 09:00 AM;2021-07-12 05:30 PM;00:30;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
